ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL	,Download 2 name,Download 2 URL
,,5A127,Midsummer Night's Cream,,,,Midsummer Night&#39;s Cream - Hijab Van Silk Route- Kleur: Patterned- Materialen: Zijde- Afmeting: 70 cm x 180 cm- Wasvoorschrift: 30c,,,,,,0,,,,,,,,,,26.6,,Hijab/,,,"https://hijabfactory.nl/images/zoom/midsummer-nights-cream-hijab-fran-silk-route-5a127-1.jpg,https://hijabfactory.nl/images/zoom/midsummer-nights-cream-hijab-fran-silk-route-5a127.jpg,https://hijabfactory.nl/images/zoom/midsummer-nights-cream-hijab-fran-silk-route-5a127-2.jpg",,,,,,,https://hijabfactory.nl/nl/hijab/midsummer-nights-cream/,,,kleuren,,,,Afmeting,,,,,,,,
,,5A116,Peach Out - Grijs & Perzik Hijab,,,,Peach Out - Grijs & Perzik Hijab Van Silk Route- Kleur: Patterned- Materialen: Viscose- Afmeting: 70 cm x 180 cm- Wasvoorschrift: 30c,,,,,,0,,,,,,,,,,16.33,,Hijab/,,,"https://hijabfactory.nl/images/zoom/peach-out-hijab-fran-silk-route-5a116.jpg,https://hijabfactory.nl/images/zoom/peach-out-hijab-fran-silk-route-5a116-1.jpg",,,,,,,https://hijabfactory.nl/nl/hijab/peach-out-grijs-perzik-hijab/,,,kleuren,,,,Afmeting,,,,,,,,
,,19C1,Hijab Hair Bun,,,,Denna hijab hairbun är skonsam för håret utan att ge slitage som vanliga flower clips gör. Finns i många olika färger. Storlek: 20 cm Vikt: ca 50g ,,,,,,0,,,,,,,,,,3.59,,Accessoires/,,,https://hijabfactory.nl/images/zoom/hijab-hair-bun-svart-19c1.jpg,,,,,,,https://hijabfactory.nl/nl/accessoires/hijab-hair-bun/,,,kleuren,,,,Afmeting,,,,,,,,
,,200401,Klimafit - Zwart Onderkapje - Ecardin,,,,Klimafit - Zwart Onderkapje Van Ecardin in Turkije.- Kleur: Zwart- Materialen: Lycra- Wasvoorschrift: 30cMade in Turkey ,,,,,,1,,,,,,,,,,4.49,,Accessoires/,,,"https://hijabfactory.nl/images/zoom/klimafit-svart-undersloja-ecardin-200401a.jpg,https://hijabfactory.nl/images/zoom/klimafit-svart-undersloja-ecardin-200401b.jpg,https://hijabfactory.nl/images/zoom/klimafit-svart-undersloja-ecardin-200401c.jpg,https://hijabfactory.nl/images/zoom/klimafit-svart-undersloja-ecardin-200401d.jpg",,,,,,,https://hijabfactory.nl/nl/accessoires/klimafit-zwart-onderkapje-ecardin/,,,kleuren,"Klimafit Vit underslöja Ecardin 200401a,Klimafit Marinblå Underslöja Ecardin 200403a,Klimafit Ljusgrå Underslöja Ecardin 200428a,Klimafit Bordeaux Underslöja Ecardin 200406a,Klimafit Blå Underslöja Ecardin 200414a,Klimafit Mörkgrå Underslöja Ecardin 200427a,Klimafit Röd Underslöja Ecardin 200417a,Klimafit Khaki Underslöja Ecardin 200426a,Klimafit Mörkgrön Underslöja Ecardin 200421a,Klimafit Petrol Underslöja Ecardin 200423a",,,Afmeting,,,,,,,,
,,5A148,Teal Doubles,,,,Teal Doubles - Hijab Van Silk Route- Kleur: Patterned- Materialen: Viscose- Afmeting: 70 cm x 180 cm- Wasvoorschrift: 30c,,,,,,0,,,,,,,,,,17.36,,Hijab/,,,"https://hijabfactory.nl/images/zoom/teal-doubles-teal-monstrad-normal--maxi-hijab-5a147.jpg,https://hijabfactory.nl/images/zoom/teal-doubles-teal-monstrad-normal--maxi-sjal-5a147.jpg,https://hijabfactory.nl/images/zoom/teal-doubles-teal-monstrad-normal--maxi-sloja-5a147.jpg",,,,,,,https://hijabfactory.nl/nl/hijab/teal-doubles/,,,kleuren,,,,Afmeting,,,,,,,,
,,5A10,Spring Cascade,,,,Spring Cascade - Hijab Van Silk Route- Kleur: Patterned- Materialen: Viscose- Afmeting: 70 cm x 180 cm- Wasvoorschrift: 30c,,,,,,0,,,,,,,,,,14.28,,Hijab/,,,https://hijabfactory.nl/images/zoom/srhjb-pt021.jpg,,,,,,,https://hijabfactory.nl/nl/hijab/spring-cascade/,,,kleuren,,,,Afmeting,,,,,,,,
,,200408,Klimafit - Bruin Onderkapje - Ecardin,,,,Klimafit - Bruin Onderkapje Van Ecardin in Turkije.- Kleur: Bruin - Materialen: Lycra- Wasvoorschrift: 30cMade in Turkey       ,,,,,,0,,,,,,,,,,4.49,,Accessoires/,,,"https://hijabfactory.nl/images/zoom/klimafit-brun-undersloja-ecardin-200408a.jpg,https://hijabfactory.nl/images/zoom/klimafit-brun-undersloja-ecardin-200408b.jpg,https://hijabfactory.nl/images/zoom/klimafit-brun-undersloja-ecardin-200408c.jpg,https://hijabfactory.nl/images/zoom/klimafit-brun-undersloja-ecardin-200408d.jpg",,,,,,,https://hijabfactory.nl/nl/accessoires/klimafit-bruin-onderkapje-ecardin/,,,kleuren,"Klimafit Svart Underslöja Ecardin 200401a,Klimafit Vit underslöja Ecardin 200401a,Klimafit Marinblå Underslöja Ecardin 200403a,Klimafit Ljusgrå Underslöja Ecardin 200428a,Klimafit Bordeaux Underslöja Ecardin 200406a,Klimafit Blå Underslöja Ecardin 200414a,Klimafit Mörkgrå Underslöja Ecardin 200427a,Klimafit Röd Underslöja Ecardin 200417a,Klimafit Khaki Underslöja Ecardin 200426a,Klimafit Mörkgrön Underslöja Ecardin 200421a,Klimafit Petrol Underslöja Ecardin 200423a",,,Afmeting,,,,,,,,
,,200403,Klimafit - Marineblauw Onderkapje - Ecardin,,,,Klimafit - Marineblauw Onderkapje Van Ecardin in Turkije.- Kleur: Marineblauw - Materialen: Lycra- Wasvoorschrift: 30cMade in Turkey       ,,,,,,1,,,,,,,,,,4.49,,Accessoires/,,,"https://hijabfactory.nl/images/zoom/klimafit-marinbla-undersloja-ecardin-200403a.jpg,https://hijabfactory.nl/images/zoom/klimafit-marinbla-undersloja-ecardin-200403b.jpg,https://hijabfactory.nl/images/zoom/klimafit-marinbla-undersloja-ecardin-200403c.jpg,https://hijabfactory.nl/images/zoom/klimafit-marinbla-undersloja-ecardin-200403d.jpg",,,,,,,https://hijabfactory.nl/nl/accessoires/klimafit-marineblauw-onderkapje-ecardin/,,,kleuren,"Klimafit Svart Underslöja Ecardin 200401a,Klimafit Vit underslöja Ecardin 200401a,Klimafit Ljusgrå Underslöja Ecardin 200428a,Klimafit Bordeaux Underslöja Ecardin 200406a,Klimafit Blå Underslöja Ecardin 200414a,Klimafit Mörkgrå Underslöja Ecardin 200427a,Klimafit Röd Underslöja Ecardin 200417a,Klimafit Khaki Underslöja Ecardin 200426a,Klimafit Mörkgrön Underslöja Ecardin 200421a,Klimafit Petrol Underslöja Ecardin 200423a",,,Afmeting,,,,,,,,
,,200428,Klimafit - Lichtgrijs Onderkapje - Ecardin,,,,Klimafit - Lichtgrijs Onderkapje Van Ecardin in Turkije.- Kleur: Lichtgrijs- Materialen: Lycra- Wasvoorschrift: 30cMade in Turkey ,,,,,,1,,,,,,,,,,4.49,,Accessoires/,,,"https://hijabfactory.nl/images/zoom/klimafit-ljusgra-undersloja-ecardin-200428a.jpg,https://hijabfactory.nl/images/zoom/klimafit-ljusgra-undersloja-ecardin-200428b.jpg,https://hijabfactory.nl/images/zoom/klimafit-ljusgra-undersloja-ecardin-200428c.jpg,https://hijabfactory.nl/images/zoom/klimafit-ljusgra-undersloja-ecardin-200428d.jpg",,,,,,,https://hijabfactory.nl/nl/accessoires/klimafit-lichtgrijs-onderkapje-ecardin/,,,kleuren,"Klimafit Svart Underslöja Ecardin 200401a,Klimafit Vit underslöja Ecardin 200401a,Klimafit Marinblå Underslöja Ecardin 200403a,Klimafit Bordeaux Underslöja Ecardin 200406a,Klimafit Blå Underslöja Ecardin 200414a,Klimafit Mörkgrå Underslöja Ecardin 200427a,Klimafit Röd Underslöja Ecardin 200417a,Klimafit Khaki Underslöja Ecardin 200426a,Klimafit Mörkgrön Underslöja Ecardin 200421a,Klimafit Petrol Underslöja Ecardin 200423a",,,Afmeting,,,,,,,,
,,200402,Klimafit - Wit Onderkapje - Ecardin,,,,Klimafit - Wit Onderkapje Van Ecardin in Turkije.- Kleur: Wit - Materialen: Lycra- Wasvoorschrift: 30cMade in Turkey ,,,,,,1,,,,,,,,,,4.49,,Accessoires/,,,"https://hijabfactory.nl/images/zoom/klimafit-vit-undersloja-ecardin-200401a-62144.jpg,https://hijabfactory.nl/images/zoom/klimafit-vit-undersloja-ecardin-200401b-41432.jpg,https://hijabfactory.nl/images/zoom/klimafit-vit-undersloja-ecardin-200401c-3314.jpg,https://hijabfactory.nl/images/zoom/klimafit-vit-undersloja-ecardin-200401d-17215.jpg",,,,,,,https://hijabfactory.nl/nl/accessoires/klimafit-wit-onderkapje-ecardin/,,,kleuren,"Klimafit Svart Underslöja Ecardin 200401a,Klimafit Marinblå Underslöja Ecardin 200403a,Klimafit Ljusgrå Underslöja Ecardin 200428a,Klimafit Bordeaux Underslöja Ecardin 200406a,Klimafit Blå Underslöja Ecardin 200414a,Klimafit Mörkgrå Underslöja Ecardin 200427a,Klimafit Röd Underslöja Ecardin 200417a,Klimafit Khaki Underslöja Ecardin 200426a,Klimafit Mörkgrön Underslöja Ecardin 200421a,Klimafit Petrol Underslöja Ecardin 200423a",,,Afmeting,,,,,,,,
