ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL	,Download 2 name,Download 2 URL
,,1358,Eid Moebarak met bloemen,,,,,,,,,,1,367,,,,,,,21,,"€ 2,49",2.49,Winkel,,,"https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15342-small_default/eid-moebarak-met-bloemen.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15342-cart_default/eid-moebarak-met-bloemen.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15342-home_default/eid-moebarak-met-bloemen.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15342-large_default/eid-moebarak-met-bloemen.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15342-medium_default/eid-moebarak-met-bloemen.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15342-thickbox_default/eid-moebarak-met-bloemen.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15342-small_default/eid-moebarak-met-bloemen.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15342-large_default/eid-moebarak-met-bloemen.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15342-thickbox_default/eid-moebarak-met-bloemen.jpg",,,,,,,https://www.islamproducten.nl/Winkel/eid-moebarak-met-bloemen,,,,,,,,,,,,,,,
,,1040,Begin met Bismillah,,,,,,,,,,1,6553656,,,,,,,21,,"€ 5,97",5.97,Lijsten,,,"https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15244-small_default/begin-met-bismillah.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15244-cart_default/begin-met-bismillah.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15244-home_default/begin-met-bismillah.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15244-large_default/begin-met-bismillah.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15244-medium_default/begin-met-bismillah.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15244-thickbox_default/begin-met-bismillah.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15244-small_default/begin-met-bismillah.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15244-large_default/begin-met-bismillah.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15244-thickbox_default/begin-met-bismillah.jpg",,,,,,,https://www.islamproducten.nl/lijsten/begin-met-bismillah,,,,,,,,,,,,,,,
,,1053,Assalaamoe Alaykoem,,,,,,,,,,1,105,,,,,,,21,,"€ 5,97",5.97,Lijsten,,,"https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15253-small_default/assalaamoe-alaykoem.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15253-cart_default/assalaamoe-alaykoem.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15253-home_default/assalaamoe-alaykoem.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15253-large_default/assalaamoe-alaykoem.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15253-medium_default/assalaamoe-alaykoem.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15253-thickbox_default/assalaamoe-alaykoem.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15253-small_default/assalaamoe-alaykoem.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15253-large_default/assalaamoe-alaykoem.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15253-thickbox_default/assalaamoe-alaykoem.jpg",,,,,,,https://www.islamproducten.nl/lijsten/assalaamoe-alaykoem,,,,,,,,,,,,,,,
,,1146,Geslaagd met je rijbewijs,,,,,,,,,,1,293,,,,,,,21,,"€ 2,49",2.49,Islamitische Wenskaarten,,,"https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15308-small_default/geslaagd-met-je-rijbewijs.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15308-cart_default/geslaagd-met-je-rijbewijs.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15308-home_default/geslaagd-met-je-rijbewijs.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15308-large_default/geslaagd-met-je-rijbewijs.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15308-medium_default/geslaagd-met-je-rijbewijs.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15308-thickbox_default/geslaagd-met-je-rijbewijs.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15308-small_default/geslaagd-met-je-rijbewijs.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15308-large_default/geslaagd-met-je-rijbewijs.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15308-thickbox_default/geslaagd-met-je-rijbewijs.jpg",,,,,,,https://www.islamproducten.nl/islamitische-wenskaarten/geslaagd-met-je-rijbewijs,,,,,,,,,,,,,,,
,,1087,Geslaagd,,,,,,,,,,1,148,,,,,,,21,,"€ 5,97",5.97,Lijsten,,,"https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15262-small_default/geslaagd.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15262-cart_default/geslaagd.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15262-home_default/geslaagd.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15262-large_default/geslaagd.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15262-medium_default/geslaagd.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15262-thickbox_default/geslaagd.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15262-small_default/geslaagd.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15262-large_default/geslaagd.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15262-thickbox_default/geslaagd.jpg",,,,,,,https://www.islamproducten.nl/lijsten/geslaagd,,,,,,,,,,,,,,,
,,1918,Getrouwd (goud),,,,"Deze wenskaart heeft een binnenkant en een buitenkant (vouwbaar).

De tekst die op de voorkant van deze wenskaart staat is:
Getrouwd.
Maa shaa Allah.

De tekst die aan de binnenkant van deze wenskaart staat is:
Baarak Allahoe lakoemaa, wa baaraka 'alaykoemaa, wa jama'a baynakoemaa fie khayr.","Deze wenskaart heeft een binnenkant en een buitenkant (vouwbaar).

De tekst die op de voorkant van deze wenskaart staat is:
Getrouwd.
Maa shaa Allah.

De tekst die aan de binnenkant van deze wenskaart staat is:
Baarak Allahoe lakoemaa, wa baaraka 'alaykoemaa, wa jama'a baynakoemaa fie khayr.

De afmeting van deze kaart is
,Breedte:, 10,5 centimeter
,Lengte:, 14,8 centimeter

Voor meer informatie kunt u ons een mail sturen.",,,,,1,1987,,,,,,,21,,"€ 2,47",2.47,Islamitische Wenskaarten,,,"https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15421-small_default/getrouwd-goud.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15421-cart_default/getrouwd-goud.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15421-home_default/getrouwd-goud.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15421-large_default/getrouwd-goud.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15421-medium_default/getrouwd-goud.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15421-thickbox_default/getrouwd-goud.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15421-small_default/getrouwd-goud.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15421-large_default/getrouwd-goud.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15421-thickbox_default/getrouwd-goud.jpg",,,,,,,https://www.islamproducten.nl/islamitische-wenskaarten/getrouwd-goud,,,,,,,,,,,,,,,
,,7780,Sabr sleutelhanger,,,,,,,,,,1,127,,,,,,,21,,"€ 3,97",3.97,Winkel,,,"https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/16383-small_default/sabr-sleutelhanger.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/16383-cart_default/sabr-sleutelhanger.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/16383-home_default/sabr-sleutelhanger.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/16383-large_default/sabr-sleutelhanger.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/16383-medium_default/sabr-sleutelhanger.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/16383-thickbox_default/sabr-sleutelhanger.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/16383-small_default/sabr-sleutelhanger.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/16383-large_default/sabr-sleutelhanger.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/16383-thickbox_default/sabr-sleutelhanger.jpg",,,,,,,https://www.islamproducten.nl/Winkel/sabr-sleutelhanger,,,,,,,,,,,,,,,
,,2002,Boekenlegger Iqra,,,,,,,,,,1,62,,,,,,,9,,"€ 0,75",0.75,Islamitische Boeken,,,"https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15425-small_default/boekenlegger-iqra.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15425-cart_default/boekenlegger-iqra.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15425-home_default/boekenlegger-iqra.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15425-large_default/boekenlegger-iqra.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15425-medium_default/boekenlegger-iqra.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15425-thickbox_default/boekenlegger-iqra.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15425-small_default/boekenlegger-iqra.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15425-large_default/boekenlegger-iqra.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15425-thickbox_default/boekenlegger-iqra.jpg",,,,,,,https://www.islamproducten.nl/islamitische-boeken/boekenlegger-iqra,,,,,,,,,,,,,,,
,,2289,Stripboek Amir & Farah - Laylatoel-qadr,,,,Het allereerste Nederlandstalige stripboek voor moslims!,Stripboek Amir & Farah: Laylatoe-lqadr,,,,,1,36,,,,,,,9,,"€ 3,47",3.47,Islamitische Boeken,,,"https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15453-small_default/stripboek-amir-farah-laylatoe-lqadr.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15453-cart_default/stripboek-amir-farah-laylatoe-lqadr.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15453-home_default/stripboek-amir-farah-laylatoe-lqadr.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15453-large_default/stripboek-amir-farah-laylatoe-lqadr.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15453-medium_default/stripboek-amir-farah-laylatoe-lqadr.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15453-thickbox_default/stripboek-amir-farah-laylatoe-lqadr.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15453-small_default/stripboek-amir-farah-laylatoe-lqadr.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15453-large_default/stripboek-amir-farah-laylatoe-lqadr.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15453-thickbox_default/stripboek-amir-farah-laylatoe-lqadr.jpg",,,,,,,https://www.islamproducten.nl/islamitische-boeken/stripboek-amir-farah-laylatoe-lqadr,,,,,,,,,,,,,,,
,,3460,Shokran,,,,,,,,,,1,493,,,,,,,21,,"€ 2,49",2.49,Islamitische Wenskaarten,,,"https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15542-small_default/shokran.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15542-cart_default/shokran.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15542-home_default/shokran.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15542-large_default/shokran.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15542-medium_default/shokran.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15542-thickbox_default/shokran.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15542-small_default/shokran.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15542-large_default/shokran.jpg,https://274662-852510-raikfcquaxqncofqfm.stackpathdns.com/15542-thickbox_default/shokran.jpg",,,,,,,https://www.islamproducten.nl/islamitische-wenskaarten/shokran,,,,,,,,,,,,,,,
