allow_customer_reviews,attribute_1_global,attribute_1_name,attribute_1_values,attribute_1_visible,attribute_2_global,attribute_2_name,attribute_2_values,attribute_2_visible,backorders_allowed,button_text,categories,cross_sells,currency,date_sale_price_ends,date_sale_price_starts,description,download_1_URL,download_1_name,download_2_URL,download_2_name,download_expiry_days,download_limit,external_URL,grouped_products,height,images,in_stock,is_featured,length,meta__wpcom_is_markdown,name,parent,position,published,purchase_note,regular_price,sale_price,shipping_class,short_description,sku,sold_individually,stock,tags,tax_class,tax_status,upsells,url,visibility_in_catalog,weight,width
,,Kleur,"donkerblauw, okergeel",,,,,,,,Home > Tassen,,EUR,,,Mooi notitieboek uit Istanbul Prachtige kwaliteit afmetingen: 14x20cm,,,,,,,,,,https://static.itijara.eu/5521-large_default/notitieboekje-istanbul.jpg,,,,,Notitieboekje Istanbul,,,1,,"9,95",7.96,,None,197,,,,,,,https://www.libasi.nl/tassen/3073-1280-notitieboekje-istanbul.html#/197-kleur-okergeel,,,
,,None,,,,,,,,,Home > Tassen,,EUR,,,,,,,,,,,,,https://static.itijara.eu/4636-large_default/feesttasje-9.jpg,,,,,feesttasje 9,,,1,,None,15.95,,Mooi handtasje uit Istanbul,2709,,,,,,,https://www.libasi.nl/tassen/2709-feesttasje-9.html,,,
,,None,,,,,,,,,Home > Tassen,,EUR,,,,,,,,,,,,,"https://static.itijara.eu/5108-medium_default/schoudertas-1.jpg,https://static.itijara.eu/5109-medium_default/schoudertas-1.jpg,https://static.itijara.eu/5110-medium_default/schoudertas-1.jpg,https://static.itijara.eu/5108-large_default/schoudertas-1.jpg,https://static.itijara.eu/5109-large_default/schoudertas-1.jpg,https://static.itijara.eu/5110-large_default/schoudertas-1.jpg",,,,,Schoudertas 1,,,1,,"22,95",20.66,,Mooie schoudertas uit Istanbul,2927,,,,,,,https://www.libasi.nl/tassen/2927-schoudertas-1.html,,,
,,Kleur,"Zwart, Creme",,,,,,,,Home > Tassen,,EUR,,,Mooi handtasje uit Istanbul Prachtige kwaliteit afmetingen: 35x31cm,,,,,,,,,,https://static.itijara.eu/5514-large_default/handtas-10.jpg,,,,,Handtas 10,,,1,,"24,95",19.96,,None,158,,,,,,,https://www.libasi.nl/tassen/3071-1274-handtas-10.html#/158-kleur-zwart,,,
,,Kleur,"Zwart, donkerblauw, lichtroze, Roze, Creme",,,,,,,,Home > Tassen,,EUR,,,Mooi portemonnee uit Istanbul Prachtige kwaliteit afmetingen: 19x10cm,,,,,,,,,,https://static.itijara.eu/5516-large_default/portemonnee.jpg,1,,,,Portemonnee,,,1,,"12,95",6.48,,None,158,,,,,,,https://www.libasi.nl/tassen/3072-1279-portemonnee.html#/158-kleur-zwart,,,
,,Kleur,"Zwart, marineblauw, Bruin, Creme",,,,,,,,Home > Tassen,,EUR,,,Mooi handtasje uit Istanbul Prachtige kwaliteit afmetingen: 12 x 18 cm,,,,,,,,,,https://static.itijara.eu/5512-large_default/schoudertas-8.jpg,,,,,Schoudertas 8,,,1,,"22,95",20.66,,None,158,,,,,,,https://www.libasi.nl/tassen/3070-1271-schoudertas-8.html#/158-kleur-zwart,,,
,,Kleur,"Zwart, zand, Creme",,,,,,,,Home > Tassen,,EUR,,,Mooi handtasje uit Istanbul Prachtige kwaliteit afmetingen: 27x30cm,,,,,,,,,,https://static.itijara.eu/5507-large_default/handtas-7.jpg,,,,,Handtas 7,,,1,,"14,95",13.46,,None,158,,,,,,,https://www.libasi.nl/tassen/3069-1268-handtas-7.html#/158-kleur-zwart,,,
,,Kleur,"Zwart, donkergrijs, marineblauw, Bruin, Creme",,,,,,,,Home > Tassen,,EUR,,,,,,,,,,,,,https://static.itijara.eu/img/p/nl-default-large_default.jpg,,,,,Handtas 1,,,1,,"24,95",22.46,,None,158,,,,,,,https://www.libasi.nl/tassen/3067-1263-handtas-1.html#/158-kleur-zwart,,,
,,Kleur,donkergrijs,,,,,,,,Home > Tassen,,EUR,,,Mooie schoudertas uit Istanbul Prachtige kwaliteit afmetingen: 21x18cm,,,,,,,,,,https://static.itijara.eu/5503-large_default/schoudertas-4.jpg,,,,,Schoudertas 4,,,1,,"22,95",20.66,,None,160,,,,,,,https://www.libasi.nl/tassen/3066-1258-schoudertas-4.html#/160-kleur-donkergrijs,,,
,,Kleur,"Zwart, marineblauw",,,,,,,,Home > Tassen,,EUR,,,Mooie schoudertas uit Istanbul Prachtige kwaliteit afmetingen: 18x13cm Op de foto zie je de donkerblauwe (de blauw is erg donker) versie met een donkerbruine rand. De zwarte versie heeft in plaats van een donkerbruine rand een rode glitter rand.,,,,,,,,,,https://static.itijara.eu/5502-large_default/schoudertas-3.jpg,1,,,,Schoudertas 3,,,1,,"22,95",20.66,,None,158,,,,,,,https://www.libasi.nl/tassen/3065-1256-schoudertas-3.html#/158-kleur-zwart,,,
