Companies,keywords
karhoo,Analytics
hadean,HTML
crowdproperty,Data+analysis
barclays,SaaS+in+cloud
hinterview,Coding
concentra,software
radix,Machine+learning
matches+fashion,Python
myricx+pharma,JavaScript
marcopolo+learning,Java
caura,Apache+Hadoop
standard+chartered+bank,Apache+Spark
panaseer,information+technology
dealroom,Computer+science
accurx,Data
azuri+technologies,R
yieldify,Go
radius+payment+solutions,Ruby
carbon+clean+solutions,Django
rimilia,Flask
shipamax,Scala
egress+software,Web+design
cloudnc,Analytics
oxford+pv,HTML
blis,Data+analysis
fluidly,SaaS+in+cloud
parity+technologies,Coding
lykke,software
zigzag+global,Machine+learning
arria+nlg,Python
blink,JavaScript
sophos,Java
lifebit,Apache+Hadoop
push+technology,Apache+Spark
ueni,information+technology
stotles,Computer+science
folk2folk,Data
como,R
perspectum,Go
this,Ruby
getronics,Django
mirrorweb,Flask
travelport+international,Scala
scoro,Web+design
beryl,UX
limitless,UI
oodle+car+finance,information+technology
previse,Computer+science
nude,Data
community+fibre,R
heysummit,Go
evox+therapeutics,Ruby
polyai,Django
waveoptics,Flask
syft,Scala
togetherall,Web+design
wild,UX
hazy,UI
red+sift,information+technology
enfusion,Computer+science
flux+systems,Data
opteran,R
taster,Go
edge,Ruby
the+bayesian+group,Django
lendingcrowd,Flask
doctorlink,Scala
verona+pharma,Web+design
superdry,UX
entocycle,UI
hussle,Analytics
fitxr,HTML
amplience,Data+analysis
birdie,SaaS+in+cloud
owlstone+medical,Coding
gyroscope+therapeutics,software
biobeats,Machine+learning
liberis+group,Python
symphonic,JavaScript
lick+home,Java
muzmatch,Apache+Hadoop
poq,Apache+Spark
symmetrical.ai,information+technology
lantum,Computer+science
float,Data
fraugster,R
sumdog,Go
triptease,Ruby
unily,Django
antidote.me,Flask
pockit,Scala
stasher,Web+design
sabio,Analytics
talklife,HTML
applied,Data+analysis
castore,SaaS+in+cloud
deadhappy,Coding
unilever,software
sharegain,Machine+learning
oxford+vr,Python
skinny+tonic,JavaScript
quantemplate,Java
second+home,Apache+Hadoop
bioneb,Apache+Spark
opengamma,information+technology
itm+power,Computer+science
arctoris,Data
emma,R
umedeor,Go
b2c2,Ruby
abaka+holdings,Django
smarter,Flask
wayhome,Scala
flatfair,Web+design
florence,Analytics
tottenham+hotspur,HTML
flown,Data+analysis
abingdon+health,SaaS+in+cloud
ultromics,Coding
velocity+black,software
lovecrafts,Machine+learning
third+financial,Python
notonthehighstreet,JavaScript
factmata,Java
countingup,Apache+Hadoop
bidstack,Apache+Spark
mixcloud,information+technology
century+tech,Computer+science
sumsub,Data
plug+&+play,R
fluency,Go
yopa,Ruby
condeco,Django
personify+xp,Flask
osler+diagnostics,Scala
koru+kids,Web+design
