ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL	,Download 2 name,Download 2 URL
,,5755,Flora Cotton Dress,,,,Een elegante jurk met print gemaakt van katoen. Vanwege de pastelkleurige print kun je deze ideaal combineren met lichte tinten. ,,,,,,1,4,,,,,,,,,54.95,54.95,,,,https://islamitischekleding.nl/10931-medium_default/ochre-floral-dress.jpg,,,,,,,https://islamitischekleding.nl/nl/abaya-design/5755-28214-ochre-floral-dress.html,,,,,,,,,,,,,,,
,,5468,Kimono Cotton Dress Laïla,,,,Hou jij van natuurlijke stoffen? Dan ben jij bewust van het draagcomfort van kleding in natuurlijke stoffen! Deze Kimono Dress Layla is van 100% duurzame soft Cotton. Het draagt koninkelijk!,,,,,,1,1,,,,,,,,,34.97,34.97,,,,https://islamitischekleding.nl/9895-medium_default/abaya-design-abaya-kimono-cotton-dress-laila.jpg,,,,,,,https://islamitischekleding.nl/nl/abaya-design/5468-27577-abaya-design-abaya-kimono-cotton-dress-laila.html,,,,,,,,,,,,,,,
,,3777,Abaya Rosa,,,,Abaya Rosa Fiori is een romantische verschijning voor bijzondere gelegenheden. De stof is elastisch en zit daarom erg comfortabel. Het model valt hetzelfde als onze bekende eigen Maleekah lijn en is daarom erg gewild onder onze klanten. Bij de borst en de polsen kan de jurk geopend worden dmv knopen. De taille is zelf in te stellen door de katoenen touwtjes. Extra wijd van onderen waardoor de prinsessenlijn ideaal naar voren komt.,,,,,,1,6,,,,,,,,,38.47,38.47,,,,https://islamitischekleding.nl/7460-medium_default/abaya-rosa.jpg,,,,,,,https://islamitischekleding.nl/nl/abaya-design/3777-26619-abaya-rosa.html,,,,,,,,,,,,,,,
,,1663,Lycra kapje Coral CC 38,,,,Kapje van hoogwaardige rekbare stof. Wordt gedragen onder een hoofddoek of sjaal waardoor het haar goed bedekt wordt en de sjaal goed op de plek blijft.,,,,,,1,10,,,,,,,,,2.99,2.99,,,,https://islamitischekleding.nl/2633-medium_default/lycra-kapje-coral-cc-38.jpg,,,,,,,https://islamitischekleding.nl/nl/bone-lycra-stretch/1663-lycra-kapje-coral-cc-38-2400000003519.html,,,,,,,,,,,,,,,
,,5809,Maxi Jersey Sjaal 80 x 200cm Oat,,,,"100% viscose stretch sjaal in een extra groot formaat, 80 x 200cm. Voelt soepel en zacht! schijnt niet door!",,,,,,1,8,,,,,,,,,9.95,9.95,,,,https://islamitischekleding.nl/11289-medium_default/maxi-jersey-sjaal-80-x-200cm-jeans.jpg,,,,,,,https://islamitischekleding.nl/nl/jersey-80-x-200cm/5809-maxi-jersey-sjaal-80-x-200cm-jeans.html,,,,,,,,,,,,,,,
,,3057,Maxi Jersey Sjaal 80 x 200cm King Blue,,,,"100% viscose sjaal in een extra groot formaat, 80 x 200cm.",,,,,,1,9,,,,,,,,,9.95,9.95,,,,https://islamitischekleding.nl/5583-medium_default/maxi-jersey-sjaal-80-x-200cm-king-blue.jpg,,,,,,,https://islamitischekleding.nl/nl/jersey-80-x-200cm/3057-maxi-jersey-sjaal-80-x-200cm-king-blue.html,,,,,,,,,,,,,,,
,,5743,Abaya Maleekah V - Mulberry,,,,"De abaya Maleekah V is de verwachte en gewilde light variant van het origineel. Voor deze V-lijn is gekozen voor een lichte luchtige stof. Verder is het model gelijk aan de originele Maleekah met knopen op de borts, bij de pols en trektouwtje in de taille. De onderkant van de Maleekah is extrawijd zodat het hiermee een prinsesenlijn krijgt. Een light flowy abaya, om je nog meer een prinses te voelen.",,,,,,1,1,,,,,,,,,59.95,59.95,,,,https://islamitischekleding.nl/10872-medium_default/abaya-maleekah-v-mulberry.jpg,,,,,,,https://islamitischekleding.nl/nl/abaya-maleekah/5743-28185-abaya-maleekah-v-mulberry.html,,,,,,,,,,,,,,,
,,2576,Hijaab 150cm vierkant Grey,,,,Grote vierkante hijaab van ongeveer 150cm in diameter.,,,,,,1,9,,,,,,,,,5.99,5.99,,,,https://islamitischekleding.nl/4389-medium_default/hijaab-150cm-vierkant-grey.jpg,,,,,,,https://islamitischekleding.nl/nl/hoofddoek-xl-150cm/2576-hijaab-150cm-vierkant-grey-2400000010012.html,,,,,,,,,,,,,,,
,,3059,Maxi Jersey Sjaal 80 x 200cm Purple,,,,"100% viscose sjaal in een extra groot formaat, 80 x 200cm.",,,,,,1,,,,,,,,,,9.95,9.95,,,,https://islamitischekleding.nl/10566-medium_default/maxi-jersey-sjaal-80-x-200cm-purple.jpg,,,,,,,https://islamitischekleding.nl/nl/jersey-80-x-200cm/3059-maxi-jersey-sjaal-80-x-200cm-purple.html,,,,,,,,,,,,,,,
,,5624,Abaya Maleekah Forest Green,,,,"Stijlvolle Abaya in prinsessenlijn gesneden. Bij de borst en polsen voorzien van zwarte knopen. Om het midden heeft het model een touwtje waarmee je de abaya om het midden naar eigen smaak kan aantrekken. Casual en chique! Het verdient de naam Maleekah/Queen!
 
Let op! de afmetingen van dit model wijken af van de standaard afmetingen. Zie voor de exacte maten in de maattabel hieronder.",,,,,,1,3,,,,,,,,,49.99,49.99,,,,https://islamitischekleding.nl/10420-medium_default/abaya-maleekah-abaya-abaya-maleekah-forest-green.jpg,,,,,,,https://islamitischekleding.nl/nl/abaya-maleekah/5624-27922-abaya-maleekah-abaya-abaya-maleekah-forest-green.html,,,,,,,,,,,,,,,
